id,motif,probability,motif_index
563,90,0.45765921473503113,1
563,160,0.14663702249526978,2
563,174,0.10665096342563629,3
563,66,0.1022530123591423,4
563,135,0.09777279943227768,5
563,159,0.08444242924451828,6
571,78,0.9493463039398193,1
571,49,0.0021095178090035915,2
577,77,0.49316829442977905,1
577,187,0.30751287937164307,2
577,0,0.13151782751083374,3
577,19,0.06576883047819138,4
578,78,0.8070042729377747,1
578,120,0.17939592897891998,2
583,143,0.25654107332229614,1
583,19,0.1720043420791626,2
583,96,0.16034501791000366,3
583,100,0.14285406470298767,4
583,172,0.12535762786865234,5
583,117,0.09037721157073975,6
583,70,0.03499224781990051,7
583,154,0.011668361723423004,8
583,185,0.004378428217023611,9
587,123,0.4115320146083832,1
587,50,0.2146109789609909,2
587,154,0.14975793659687042,3
587,140,0.11792448908090591,4
587,151,0.1049501821398735,5
595,170,0.306680828332901,1
595,161,0.21007032692432404,2
595,71,0.16174429655075073,3
595,55,0.10504966974258423,4
595,189,0.08822940289974213,5
595,118,0.06722793728113174,6
595,163,0.05882193520665169,7
598,175,0.39612913131713867,1
598,2,0.36272335052490234,2
598,111,0.08592759072780609,3
598,103,0.07874977588653564,4
598,55,0.05729597806930542,5
598,107,0.014333095401525497,6
598,96,0.0024053449742496014,7
600,119,0.5523146390914917,1
600,146,0.27062171697616577,2
600,102,0.17122513055801392,3
601,120,0.9003778696060181,1
601,171,0.0900934562087059,2
610,111,0.9961571097373962,1
611,154,0.4941738247871399,1
611,133,0.34418970346450806,2
611,101,0.11153005808591843,3
611,70,0.04808414727449417,4
624,161,0.2949483096599579,1
624,194,0.24185843765735626,2
624,189,0.22415217757225037,3
624,28,0.12387306243181229,4
624,55,0.06196662038564682,5
624,67,0.047201745212078094,6
624,34,0.002966458210721612,7
627,105,0.7688750624656677,1
627,102,0.22298532724380493,2
630,2,0.8531153202056885,1
630,56,0.06250398606061935,2
630,174,0.05163140222430229,3
630,96,0.024473588913679123,4
630,175,0.002733411733061075,5
630,14,0.0027321497909724712,6
643,73,0.47323077917099,1
643,113,0.34462761878967285,2
643,49,0.1796887218952179,3
657,124,0.9645771384239197,1
664,11,0.5344613790512085,1
664,179,0.18136662244796753,2
664,49,0.1445172280073166,3
664,85,0.1380375623703003,4
672,98,0.5625707507133484,1
672,10,0.38613271713256836,2
672,96,0.025591310113668442,3
672,111,0.023038631305098534,4
677,156,0.8681520819664001,1
